case_id,traj_file,frame,time_ps,tracked_oi_atom_index,tracked_oi_to_vacancy_distance_A,nearest_O_to_vacancy_site_atom_index,nearest_O_to_vacancy_site_distance_A,vacancy_site_occupied,occupied_O_Cu_coordination,coordination_recovered
F3,YBa2Cu3O7_553_Frenkel3_113.traj,0,0.000000,39,5.902199,26,3.819000,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,1,0.000500,39,5.902223,26,3.818922,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,2,0.001000,39,5.902264,26,3.818784,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,3,0.001500,39,5.902341,26,3.818617,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,4,0.002000,39,5.902415,26,3.818435,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,5,0.002500,39,5.902479,26,3.818231,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,6,0.003000,39,5.902568,26,3.817991,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,7,0.003500,39,5.902664,26,3.817742,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,8,0.004000,39,5.902749,26,3.817461,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,9,0.004500,39,5.902915,26,3.817122,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,10,0.005000,39,5.903165,26,3.816739,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,11,0.005500,39,5.903496,26,3.816323,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,12,0.006000,39,5.903902,26,3.815869,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,13,0.006500,39,5.904291,26,3.815377,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,14,0.007000,39,5.904708,26,3.814830,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,15,0.007500,39,5.905103,26,3.814247,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,16,0.008000,39,5.905466,26,3.813657,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,17,0.008500,39,5.905805,26,3.813035,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,18,0.009000,39,5.906150,26,3.812407,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,19,0.009500,39,5.906469,26,3.811762,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,20,0.010000,39,5.906714,26,3.811058,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,21,0.010500,39,5.906921,26,3.810355,0,1,0
