case_id,traj_file,frame,time_ps,tracked_oi_atom_index,tracked_oi_to_vacancy_distance_A,nearest_O_to_vacancy_site_atom_index,nearest_O_to_vacancy_site_distance_A,vacancy_site_occupied,occupied_O_Cu_coordination,coordination_recovered
F3,YBa2Cu3O7_553_Frenkel3_113.traj,22,0.011000,39,5.907043,26,3.809641,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,23,0.011500,39,5.907150,26,3.808874,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,24,0.012000,39,5.907263,26,3.808184,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,25,0.012500,39,5.907372,26,3.807505,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,26,0.013000,39,5.907418,26,3.806792,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,27,0.013500,39,5.907469,26,3.806116,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,28,0.014000,39,5.907485,26,3.805471,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,29,0.014500,39,5.907434,26,3.804886,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,30,0.015000,39,5.907373,26,3.804352,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,31,0.015500,39,5.907387,26,3.803810,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,32,0.016000,39,5.907435,26,3.803294,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,33,0.016500,39,5.907507,26,3.802709,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,34,0.017000,39,5.907583,26,3.802072,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,35,0.017500,39,5.907704,26,3.801406,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,36,0.018000,39,5.907853,26,3.800701,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,37,0.018500,39,5.908014,26,3.799975,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,38,0.019000,39,5.908212,26,3.799219,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,39,0.019500,39,5.908463,26,3.798446,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,40,0.020000,39,5.908711,26,3.797722,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,41,0.020500,39,5.908963,26,3.797052,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,42,0.021000,39,5.909206,26,3.796431,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,43,0.021500,39,5.909453,26,3.795863,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,44,0.022000,39,5.909681,26,3.795343,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,45,0.022500,39,5.909973,26,3.794832,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,46,0.023000,39,5.910246,26,3.794386,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,47,0.023500,39,5.910489,26,3.794012,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,48,0.024000,39,5.910791,26,3.793716,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,49,0.024500,39,5.911121,26,3.793446,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,50,0.025000,39,5.911514,26,3.793187,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,51,0.025500,39,5.911948,26,3.792953,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,52,0.026000,39,5.912468,26,3.792671,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,53,0.026500,39,5.913073,26,3.792415,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,54,0.027000,39,5.913702,26,3.792250,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,55,0.027500,39,5.914341,26,3.792131,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,56,0.028000,39,5.914994,26,3.792105,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,57,0.028500,39,5.915722,26,3.792072,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,58,0.029000,39,5.916485,26,3.792007,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,59,0.029500,39,5.917205,26,3.792028,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,60,0.030000,39,5.917949,26,3.792101,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,61,0.030500,39,5.918752,26,3.792162,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,62,0.031000,39,5.919560,26,3.792251,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,63,0.031500,39,5.920340,26,3.792306,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,64,0.032000,39,5.921066,26,3.792378,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,65,0.032500,39,5.921743,26,3.792498,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,66,0.033000,39,5.922424,26,3.792590,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,67,0.033500,39,5.923121,26,3.792643,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,68,0.034000,39,5.923867,26,3.792690,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,69,0.034500,39,5.924637,26,3.792788,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,70,0.035000,39,5.925408,26,3.792901,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,71,0.035500,39,5.926167,26,3.793104,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,72,0.036000,39,5.926948,26,3.793408,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,73,0.036500,39,5.927736,26,3.793725,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,74,0.037000,39,5.928500,26,3.794050,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,75,0.037500,39,5.929293,26,3.794365,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,76,0.038000,39,5.930121,26,3.794715,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,77,0.038500,39,5.930942,26,3.795102,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,78,0.039000,39,5.931778,26,3.795483,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,79,0.039500,39,5.932679,26,3.795847,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,80,0.040000,39,5.933620,26,3.796152,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,81,0.040500,39,5.934533,26,3.796512,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,82,0.041000,39,5.935440,26,3.796927,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,83,0.041500,39,5.936358,26,3.797365,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,84,0.042000,39,5.937361,26,3.797840,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,85,0.042500,39,5.938410,26,3.798316,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,86,0.043000,39,5.939475,26,3.798810,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,87,0.043500,39,5.940560,26,3.799307,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,88,0.044000,39,5.941631,26,3.799850,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,89,0.044500,39,5.942705,26,3.800397,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,90,0.045000,39,5.943771,26,3.800924,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,91,0.045500,39,5.944829,26,3.801448,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,92,0.046000,39,5.945868,26,3.801971,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,93,0.046500,39,5.946905,26,3.802447,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,94,0.047000,39,5.947938,26,3.802918,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,95,0.047500,39,5.948996,26,3.803405,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,96,0.048000,39,5.950047,26,3.803968,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,97,0.048500,39,5.951064,26,3.804576,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,98,0.049000,39,5.952035,26,3.805245,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,99,0.049500,39,5.952973,26,3.805895,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,100,0.050000,39,5.953899,26,3.806569,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,101,0.050500,39,5.954831,26,3.807227,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,102,0.051000,39,5.955749,26,3.807898,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,103,0.051500,39,5.956597,26,3.808604,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,104,0.052000,39,5.957411,26,3.809331,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,105,0.052500,39,5.958201,26,3.809986,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,106,0.053000,39,5.959019,26,3.810593,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,107,0.053500,39,5.959817,26,3.811173,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,108,0.054000,39,5.960629,26,3.811771,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,109,0.054500,39,5.961452,26,3.812390,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,110,0.055000,39,5.962277,26,3.813007,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,111,0.055500,39,5.963150,26,3.813635,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,112,0.056000,39,5.964043,26,3.814238,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,113,0.056500,39,5.964900,26,3.814857,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,114,0.057000,39,5.965742,26,3.815438,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,115,0.057500,39,5.966554,26,3.815982,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,116,0.058000,39,5.967391,26,3.816507,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,117,0.058500,39,5.968251,26,3.816991,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,118,0.059000,39,5.969081,26,3.817392,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,119,0.059500,39,5.969967,26,3.817770,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,120,0.060000,39,5.970826,26,3.818121,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,121,0.060500,39,5.971672,26,3.818467,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,122,0.061000,39,5.972413,26,3.818802,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,123,0.061500,39,5.973095,26,3.819142,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,124,0.062000,39,5.973737,26,3.819484,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,125,0.062500,39,5.974372,26,3.819791,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,126,0.063000,39,5.974987,26,3.820106,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,127,0.063500,39,5.975539,26,3.820397,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,128,0.064000,39,5.976012,26,3.820642,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,129,0.064500,39,5.976474,26,3.820879,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,130,0.065000,39,5.976911,26,3.821155,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,131,0.065500,39,5.977389,26,3.821440,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,132,0.066000,39,5.977928,26,3.821711,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,133,0.066500,39,5.978424,26,3.822004,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,134,0.067000,39,5.978900,26,3.822251,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,135,0.067500,39,5.979400,26,3.822390,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,136,0.068000,39,5.979890,26,3.822496,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,137,0.068500,39,5.980294,26,3.822559,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,138,0.069000,39,5.980632,26,3.822552,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,139,0.069500,39,5.980964,26,3.822466,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,140,0.070000,39,5.981310,26,3.822341,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,141,0.070500,39,5.981677,26,3.822228,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,142,0.071000,39,5.981943,26,3.822057,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,143,0.071500,39,5.982184,26,3.821850,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,144,0.072000,39,5.982422,26,3.821557,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,145,0.072500,39,5.982613,26,3.821211,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,146,0.073000,39,5.982807,26,3.820787,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,147,0.073500,39,5.982991,26,3.820276,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,148,0.074000,39,5.983172,26,3.819718,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,149,0.074500,39,5.983373,26,3.819095,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,150,0.075000,39,5.983560,26,3.818419,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,151,0.075500,39,5.983720,26,3.817754,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,152,0.076000,39,5.983874,26,3.817053,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,153,0.076500,39,5.983985,26,3.816280,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,154,0.077000,39,5.984126,26,3.815486,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,155,0.077500,39,5.984305,26,3.814614,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,156,0.078000,39,5.984563,26,3.813622,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,157,0.078500,39,5.984744,26,3.812535,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,158,0.079000,39,5.984900,26,3.811447,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,159,0.079500,39,5.985040,26,3.810305,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,160,0.080000,39,5.985227,26,3.809160,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,161,0.080500,39,5.985371,26,3.808012,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,162,0.081000,39,5.985480,26,3.806784,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,163,0.081500,39,5.985519,26,3.805498,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,164,0.082000,39,5.985505,26,3.804238,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,165,0.082500,39,5.985478,26,3.802973,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,166,0.083000,39,5.985468,26,3.801692,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,167,0.083500,39,5.985461,26,3.800440,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,168,0.084000,39,5.985456,26,3.799110,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,169,0.084500,39,5.985460,26,3.797693,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,170,0.085000,39,5.985422,26,3.796276,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,171,0.085500,39,5.985394,26,3.794890,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,172,0.086000,39,5.985365,26,3.793482,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,173,0.086500,39,5.985344,26,3.792088,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,174,0.087000,39,5.985272,26,3.790684,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,175,0.087500,39,5.985161,26,3.789269,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,176,0.088000,39,5.985072,26,3.787879,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,177,0.088500,39,5.984927,26,3.786529,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,178,0.089000,39,5.984792,26,3.785213,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,179,0.089500,39,5.984634,26,3.783935,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,180,0.090000,39,5.984469,26,3.782680,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,181,0.090500,39,5.984267,26,3.781465,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,182,0.091000,39,5.984048,26,3.780312,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,183,0.091500,39,5.983798,26,3.779204,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,184,0.092000,39,5.983541,26,3.778093,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,185,0.092500,39,5.983238,26,3.776987,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,186,0.093000,39,5.982921,26,3.775946,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,187,0.093500,39,5.982621,26,3.774926,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,188,0.094000,39,5.982306,26,3.773892,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,189,0.094500,39,5.981896,26,3.772839,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,190,0.095000,39,5.981434,26,3.771782,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,191,0.095500,39,5.980936,26,3.770739,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,192,0.096000,39,5.980329,26,3.769738,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,193,0.096500,39,5.979707,26,3.768765,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,194,0.097000,39,5.979048,26,3.767811,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,195,0.097500,39,5.978344,26,3.766841,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,196,0.098000,39,5.977608,26,3.765934,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,197,0.098500,39,5.976867,26,3.765101,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,198,0.099000,39,5.976089,26,3.764302,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,199,0.099500,39,5.975306,26,3.763600,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,200,0.100000,39,5.974517,26,3.762923,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,201,0.100500,39,5.973740,26,3.762308,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,202,0.101000,39,5.972917,26,3.761690,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,203,0.101500,39,5.971978,26,3.761081,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,204,0.102000,39,5.970962,26,3.760571,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,205,0.102500,39,5.969909,26,3.760103,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,206,0.103000,39,5.968785,26,3.759759,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,207,0.103500,39,5.967581,26,3.759494,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,208,0.104000,39,5.966351,26,3.759269,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,209,0.104500,39,5.965100,26,3.759131,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,210,0.105000,39,5.963843,26,3.759028,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,211,0.105500,39,5.962635,26,3.759011,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,212,0.106000,39,5.961440,26,3.759060,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,213,0.106500,39,5.960139,26,3.759171,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,214,0.107000,39,5.958794,26,3.759307,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,215,0.107500,39,5.957398,26,3.759433,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,216,0.108000,39,5.955916,26,3.759601,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,217,0.108500,39,5.954371,26,3.759792,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,218,0.109000,39,5.952806,26,3.759976,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,219,0.109500,39,5.951245,26,3.760184,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,220,0.110000,39,5.949607,26,3.760453,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,221,0.110500,39,5.947900,26,3.760810,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,222,0.111000,39,5.946137,26,3.761226,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,223,0.111500,39,5.944392,26,3.761723,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,224,0.112000,39,5.942654,26,3.762266,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,225,0.112500,39,5.940905,26,3.762819,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,226,0.113000,39,5.939159,26,3.763397,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,227,0.113500,39,5.937355,26,3.764057,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,228,0.114000,39,5.935492,26,3.764768,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,229,0.114500,39,5.933578,26,3.765523,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,230,0.115000,39,5.931612,26,3.766294,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,231,0.115500,39,5.929648,26,3.767061,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,232,0.116000,39,5.927648,26,3.767833,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,233,0.116500,39,5.925628,26,3.768619,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,234,0.117000,39,5.923595,26,3.769423,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,235,0.117500,39,5.921550,26,3.770274,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,236,0.118000,39,5.919417,26,3.771119,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,237,0.118500,39,5.917184,26,3.771993,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,238,0.119000,39,5.914939,26,3.772895,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,239,0.119500,39,5.912634,26,3.773778,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,240,0.120000,39,5.910299,26,3.774651,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,241,0.120500,39,5.907935,26,3.775531,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,242,0.121000,39,5.905544,26,3.776422,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,243,0.121500,39,5.903205,26,3.777291,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,244,0.122000,39,5.900844,26,3.778149,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,245,0.122500,39,5.898439,26,3.778984,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,246,0.123000,39,5.895968,26,3.779837,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,247,0.123500,39,5.893515,26,3.780685,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,248,0.124000,39,5.891071,26,3.781555,0,1,0
F3,YBa2Cu3O7_553_Frenkel3_113.traj,249,0.124500,39,5.888594,26,3.782426,0,1,0
